[Header]
TITLE,heat_capacity_multifield.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5.0,MASS:Sample Mass (mg)
INFO,0.01,MASSERR:Sample Mass Error (mg)
INFO,950.0,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
0.00000,anonymized
8352.98451,,1857,19.2285,19.2285,0.56246531,9.8999999E-6,19.33532,0.39883476,47598.17,179.9,50.094673,0.6222,276.58965,0.6925,1.6119053,11.81714,0.13986659,91.75673,-10738618,2.272E5,1,,,,2.4833771E-5,23.085802,373.85459,2461.7214,0
8546.90226,,1857,19.7438,19.7438,0.54371649,9.8999999E-6,19.853778,0.40955634,50005.536,189.2,53.09094,0.6546,291.04132,0.7287,1.0914433,12.135905,0.14559909,91.69123,-13491390,3.038E5,1,,,,2.5453205E-5,23.63428,394.17251,2518.6912,0
8741.69918,,1857,20.257,20.257,0.48746994,9.8999999E-6,20.371102,0.4208035,52369.948,200.3,56.383392,0.6975,305.58478,0.7759,1.5843225,12.428598,0.15170346,91.623529,-16873412,3.972E5,1,,,,2.6101715E-5,24.271809,414.98178,2570.7961,0
8940.25722,,1857,20.7699,20.7699,0.54371649,9.8999999E-6,20.889227,0.43184663,54701.935,213.3,60.12705,0.758,320.42515,0.834,1.3120128,12.733033,0.15917934,91.535953,-20967117,5.122E5,1,,,,2.6721101E-5,24.857196,436.35982,2618.6672,0
9139.34747,,1857,21.2847,21.2847,0.54371649,9.8999999E-6,21.406931,0.44290386,56932.203,229.4,64.337216,0.8361,335.248,0.9105,1.7775366,13.021065,0.1675654,91.442556,-25710515,6.582E5,1,,,,2.7341776E-5,25.466067,458.25669,2659.522,0
9340.37330,,1857,21.7961,21.7961,0.56246531,9.8999999E-6,21.925473,0.45421699,59121.873,247.1,68.748674,0.9209,350.07896,0.996,1.7109144,13.298541,0.17644717,91.337125,-31271193,8.364E5,1,,,,2.7960081E-5,26.042129,480.72637,2696.4925,0
9541.77763,,1857,22.3108,22.3108,0.54371649,9.8999999E-6,22.443984,0.46469045,61421.627,265.3,73.143401,1.002,365.41703,1.082,1.5095226,13.594182,0.18533684,91.231305,-38157420,1.06E6,1,,,,2.8557521E-5,26.597081,503.7324,2736.6633,0
9747.94108,,1857,22.8255,22.8255,0.58121419,9.8999999E-6,22.961815,0.47603007,63757.27,280.6,77.23678,1.069,380.62451,1.153,1.3063159,13.864638,0.19257435,91.162146,-46424267,1.321E6,1,,,,2.9169147E-5,27.188364,527.24496,2776.665,0
9956.29625,,1857,23.3387,23.3387,0.56246531,9.8999999E-6,23.47913,0.48731911,66109.168,291.5,81.002884,1.119,395.58208,1.198,1.4257493,14.123486,0.1989498,91.099773,-56233940,1.614E6,1,,,,2.9765586E-5,27.729276,551.26956,2815.6566,0
10164.77684,,1857,23.8517,23.8517,0.50621879,9.8999999E-6,23.997261,0.49784949,68554.01,302.2,84.646131,1.162,410.85906,1.242,1.1116006,14.387596,0.20508929,91.03529,-68183682,1.967E6,1,,,,3.0356505E-5,28.246973,575.86854,2856.7431,0
